
Evaluating k=1
Actual	Evaluated
7	1
8	3
7	9
4	7
1	5
4	1
9	4
1	3
4	9
2	7
7	1
9	3
7	4
2	7
3	5
6	1
3	8
8	1
3	8
3	5
5	0
4	9
6	5
8	9
8	1
8	1
4	9
7	4
4	9
5	8
2	0
4	9
7	1
4	9
9	7
5	3
8	5
8	5
Number of errors: 38 / 1000


Evaluating k=3
Actual	Evaluated
7	1
2	1
8	3
1	5
4	1
1	3
8	6
4	9
3	8
4	9
2	7
7	1
7	1
9	3
4	9
7	4
2	7
4	9
3	5
6	1
3	8
8	1
3	8
3	5
5	0
4	9
6	0
8	5
3	8
8	1
8	1
7	4
5	8
2	0
4	9
7	1
8	9
4	9
4	6
5	3
8	5
8	5
Number of errors: 42 / 1000


Evaluating k=5
Actual	Evaluated
7	1
2	1
1	3
4	1
9	4
1	3
4	9
2	1
3	8
4	9
2	7
7	1
7	1
9	3
4	9
7	9
2	7
3	5
6	1
3	8
8	1
3	8
5	0
4	9
6	0
8	5
3	8
8	1
8	1
0	6
7	4
5	8
2	0
7	1
8	9
4	9
2	8
4	6
5	3
8	5
8	5
Number of errors: 41 / 1000


Evaluating k=11
Actual	Evaluated
7	1
2	1
8	3
8	3
3	9
4	9
1	3
4	1
1	3
4	9
2	1
3	8
2	1
4	9
2	7
7	1
7	1
9	3
4	9
5	3
7	1
2	7
3	5
6	1
3	8
7	9
8	1
3	8
2	1
2	1
5	1
5	0
6	0
8	5
3	8
8	1
2	9
8	1
0	6
5	1
7	4
4	9
4	7
2	0
4	9
5	9
7	1
8	5
4	9
4	6
5	3
8	5
2	1
8	1
Number of errors: 54 / 1000


Evaluating k=16
Actual	Evaluated
7	1
2	1
8	3
3	9
4	9
1	3
4	1
1	2
4	9
2	1
3	8
2	1
4	9
2	7
7	1
7	1
9	3
4	9
5	3
7	1
2	7
3	5
6	1
3	8
7	9
8	1
3	4
2	1
2	1
5	1
0	1
5	0
4	9
6	0
8	7
3	8
8	1
2	9
8	1
0	6
5	1
7	4
4	9
4	7
2	0
4	9
5	9
4	1
7	1
5	9
8	5
4	9
5	3
8	5
2	1
8	1
Number of errors: 56 / 1000


Evaluating k=21
Actual	Evaluated
9	7
7	1
2	1
8	3
8	3
3	9
4	9
1	3
4	1
1	3
4	9
2	1
3	8
2	1
4	9
2	7
7	1
7	1
9	3
4	9
5	3
7	1
2	7
3	5
6	1
3	8
7	9
8	1
6	1
3	7
2	1
5	1
0	1
5	0
6	2
8	7
3	8
8	1
2	9
9	4
8	1
0	6
5	1
7	4
4	9
4	7
2	4
5	9
3	1
2	0
4	9
5	9
4	1
7	1
8	5
4	9
2	1
4	6
5	3
8	5
2	1
8	1
Number of errors: 62 / 1000
